file_name;total_nb_images;size;on_gpu;nb_threads;loading_time;SOBEL_time;export_time;full_time;

images/original/051009.vince.gif;1;1354892;0;256;1;0.018539;0.127085;0.165044;0.310668 
images/original/1.gif;10;250000;0;256;1;0.027992;0.170924;0.111454;0.310370 
images/original/1.gif;10;250000;1;256;1;0.045968;0.055765;0.033579;0.135312 
images/original/200_s.gif;1;40000;0;256;1;0.000780;0.001426;0.002203;0.004409 
images/original/200_s.gif;1;40000;1;256;1;0.000737;0.001508;0.002562;0.004807 
images/original/9815573.gif;10;140500;0;256;1;0.045135;0.086623;0.058983;0.190741 
images/original/9815573.gif;10;140500;1;256;1;0.035061;0.031975;0.013977;0.081013 
images/original/australian-flag-large.gif;1;720000;0;256;1;0.008908;0.075963;0.016961;0.101832 
images/original/australian-flag-large.gif;1;720000;1;256;1;0.004585;0.013534;0.008855;0.026974 
images/original/Campusplan-Hausnr.gif;1;69682912;0;256;1;0.355630;7.026245;0.721117;8.102992 
images/original/Campusplan-Hausnr.gif;1;69682912;0;256;1;0.374549;7.000865;0.726196;8.101610 
images/original/Campusplan-Mobilitaetsbeschraenkte.gif;1;69689928;0;256;1;0.383740;6.967068;1.517394;8.868202 
images/original/Campusplan-Mobilitaetsbeschraenkte.gif;1;69689928;0;256;1;0.356814;6.954918;1.574406;8.886138 
images/original/fire.gif;33;1800;0;256;1;0.003508;0.002790;0.005301;0.011599 
images/original/fire.gif;33;1800;1;256;1;0.003528;0.017489;0.002654;0.023671 
images/original/frame_002.gif;1;263250;0;256;1;0.009341;0.019827;0.006007;0.035175 
images/original/frame_002.gif;1;263250;1;256;1;0.005242;0.004267;0.004250;0.013759 
images/original/giphy-3.gif;5;2073600;0;256;1;0.102086;0.769628;0.741865;1.613579 
images/original/long_gif.gif;137;230400;0;256;1;0.215701;1.573405;1.437108;3.226214 
images/original/Mandelbrot-large.gif;20;1440000;0;256;1;0.212605;1.619505;1.812270;3.644380 
images/original/051009.vince.gif;1;1354892;0;256;1;0.045100;0.128961;0.163698;0.337759 
images/original/1.gif;10;250000;0;256;1;0.030069;0.171586;0.111285;0.312940 
images/original/1.gif;10;250000;1;256;1;0.046181;0.060740;0.032138;0.139059 
images/original/200_s.gif;1;40000;0;256;1;0.000846;0.001243;0.001981;0.004070 
images/original/200_s.gif;1;40000;1;256;1;0.000877;0.001143;0.001985;0.004005 
images/original/9815573.gif;10;140500;0;256;1;0.020473;0.082067;0.057701;0.160241 
images/original/9815573.gif;10;140500;1;256;1;0.022103;0.031608;0.013957;0.067668 
images/original/australian-flag-large.gif;1;720000;0;256;1;0.018953;0.074193;0.016185;0.109331 
images/original/australian-flag-large.gif;1;720000;1;256;1;0.006133;0.014604;0.008790;0.029527 
images/original/Campusplan-Hausnr.gif;1;69682912;0;256;1;0.357749;6.820271;0.709568;7.887588 
images/original/Campusplan-Hausnr.gif;1;69682912;0;256;1;0.369563;6.884649;0.712434;7.966646 
images/original/Campusplan-Mobilitaetsbeschraenkte.gif;1;69689928;0;256;1;0.367080;6.799500;1.492116;8.658696 
images/original/Campusplan-Mobilitaetsbeschraenkte.gif;1;69689928;0;256;1;0.359170;6.828243;1.582323;8.769736 
images/original/fire.gif;33;1800;0;256;1;0.001360;0.000766;0.003159;0.005285 
images/original/fire.gif;33;1800;1;256;1;0.001117;0.017908;0.003049;0.022074 
images/original/frame_002.gif;1;263250;0;256;1;0.007906;0.022349;0.006104;0.036359 
images/original/frame_002.gif;1;263250;1;256;1;0.002732;0.004139;0.004285;0.011156 
images/original/giphy-3.gif;5;2073600;0;256;1;0.118412;0.732894;0.714246;1.565552 
images/original/long_gif.gif;137;230400;0;256;1;0.182944;1.512525;1.401431;3.096900 
images/original/Mandelbrot-large.gif;20;1440000;0;256;1;0.189829;1.564052;1.744357;3.498238 
